Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
AVIHIY_clean,Ho124O744C1116H12,1,1,3.0
AVIHOE_clean,O744C1116H12Tm124,1,1,3.0
AVIMIC_clean,C6120H72O2040Zn408,1,1,3.0
AVIMOI_clean,Zn248H72C3720O1240,1,1,3.0
AVIMUO_clean,Mn8H2232C3720O1240,1,1,3.0
AVIPAX_clean,Mg372H36C2604N372O1488,1,1,3.0
AVIPOL_clean,Mg248O992N248C1736H24,1,1,3.0
AVITUU_clean,N3264C19584H256Cu816S816,1,1,3.0
AVIVAC_clean,N3264C19584H256Ag816S816,1,1,3.0
AVIVEG_clean,N3264C19584H256Ag816S816,1,1,3.0
AVIVIK_clean,N3264C19584H256Ag816S816,1,1,3.0
AVIVOQ_clean,N3264C19584H256Ag816S816,1,1,3.0
AVIVUW_clean,N3264C19584H256Ag816S816,1,1,3.0
AVOSIO_charged,Ag186H216C6138O1116Sb93F558,0,1,3.0
AVUBUP_clean,W248Co12N2976C4960H3224O248,1,1,3.0
AVUCEA_clean,Co36O11016C16524H5508,1,1,3.0
AVUDAX_clean,Cu186H120C3720N2232,1,1,3.0
AVUHIJ_clean,Co6N1836O1224C8160H5916,1,1,3.0
AVUJIL_clean,Pr124S124O868H16C868,1,1,3.0
AVUPIR_SL,P306C918N306O918H40Zr102,1,1,3.0
AVUPIR_clean_h,Zr62P186C558N186O558H13,1,1,3.0
AWAGEL_clean,Cd124H84C3348N868,1,2,3.0
AWAGOV_clean,Ni8C12648H9384N2856O816,1,2,3.0
AWAHAI_clean,U1488Mn18P744H1488C1488O5208,1,1,3.0
AWAHEM_clean,U310Mn4P372H744C744O1860,1,1,3.0
AWAJIT_clean,Zn248O1488N992C5084H144,1,1,3.0
AWAKEQ_clean,C7344H116N1020O816Cd204,1,2,3.0
AWAREV_clean,C1836H108N4590Zn918F918,1,1,3.0
AWARIZ_clean,C1836H108N4590Zn918F918,1,1,3.0
AWASAU_clean,Pr124Cu496I496O744N372C2232H48,1,1,3.0
AWASOI_clean,Pr372I1488Cu1488O2232N1116C6696H144,1,1,3.0
AWAWUR_clean,Co18H2604C5580N744O2418,1,1,3.0
AWEBIO_charged,U248H164C3596N1612O1984,0,1,3.0
AWEDOW_charged,Zn248H176C7068N1984O1240,0,1,3.0
AWEDUC_charged,Zn124H96C3658N1054O806,0,1,3.0
AWEGEP_clean,Cs612U612P612H48C4284O3672,1,1,3.0
AWEJES_clean,C12852H140N408O4692Zn1428,1,1,3.0
AWEJIW_clean,Cd186H44C2604O744,1,1,3.0
AWEWOP_clean,Cu372C6696N372O2480H100,1,1,3.0
AWEZOS01_clean,Cu2108Cl248N7440H576C20832,1,1,3.0
AWEZOS_clean,Cu2108Cl248N7440H576C20832,1,1,3.0
AWIBAK_clean,Cu2108Cl248N7440H576C20832,1,1,3.0
AWIBAL_clean,Lu62O434C744H22N186,1,1,3.0
AWIBEO_clean,Cu2108Br248C20832H576N7440,1,1,3.0
AWIBIS_clean,Cu2108Br248N7440H576C20832,1,1,3.0
AWOFOI_clean,Ce124H12C1116O744,1,1,3.0
AWOKED_clean,Sm124Ag124C1860H56O744N248,1,1,3.0
AWUPAL_clean,O1632C10200H5304In204Fe2N408,1,1,3.0
AWUPOZ_clean,O1632C10200N612H5304In204Mn2,1,1,3.0
AXAFAG_clean,U744P744O2976F248H16,1,1,3.0
AXAQAT_clean,Ag124C496N372H248Fe2,1,1,3.0
AXAWUT_clean,Ce248O1488C1116H24,1,1,3.0
AXIGAR_clean,Co8N3264C2040,1,1,3.0
